Frame,ΔF/F (%)
0,0.07494671
1,0.007557851
2,-0.004470338
3,-0.003576271
4,-0.026911436
5,-0.04611005
6,0.001358983
7,0.043225188
8,-0.042873524
9,0.036728296
10,-0.010472512
11,0.028419431
12,-0.0192761
13,-0.009924151
14,0.024282876
15,-0.06492719
16,0.06506428
17,0.012767286
18,0.049888976
19,0.01426932
20,-0.03435604
21,-0.014358727
22,-0.013762682
23,0.024676267
24,-0.004512061
25,-0.008809547
26,-0.009351947
27,-0.050592307
28,-0.04085889
29,-0.020641042
30,0.03144734
31,-0.029116802
32,-0.024694148
33,0.046563044
34,-0.012332173
35,-0.000637768
36,-0.007921439
37,0.030970503
38,0.01744028
39,0.002849096
40,0.07778389
41,-0.05087841
42,0.023066945
43,-0.009608247
44,-0.001871582
45,-0.061571456
46,0.060999252
47,-0.03067844
48,-0.015085902
49,-0.005096186
50,-0.000107288
51,-0.020956945
52,0.05012739
53,0.030314852
54,-0.035917677
55,0.072479084
56,-0.009870507
57,-0.07130487
58,-0.021326493
59,-0.025093498
60,0.06400332
61,0.03163807
62,0.036799822
63,0.005078304
64,0.022768924
65,-0.07510764
66,0.025010053
67,0.026082935
68,0.01256463
69,0.040101916
70,-0.02551073
71,0.001180169
72,-0.061911203
73,-0.011998388
74,-0.07770044
75,0.060880043
76,0.008738021
77,-0.01439449
78,-0.05317318
79,-0.000488757
80,-0.026386915
81,-0.018626409
82,0.010383106
83,-0.020587398
84,0.025165023
85,-0.031286407
86,-0.02312655
87,0.010693049
88,0.06774649
89,-0.04191389
90,-0.007325394
91,-0.016474687
92,0.008916834
93,-0.017929036
94,-0.016021691
95,-0.010418869
96,-0.037205134
97,-0.002753728
98,0.08448343
99,-0.054782506
100,0.015711749
101,0.01480576
102,0.021636436
103,0.012361975
104,0.005340564
105,0.012767286
106,-0.12799472
107,0.04992474
108,-0.02722734
109,-0.037103806
110,-0.10712122
111,-0.024944488
112,0.014436213
113,-0.062411882
114,-0.010663247
115,-0.029933386
116,0.02562994
117,0.007259829
118,0.054287788
119,-0.011545394
120,-0.002002711
121,0.116705626
122,0.011491749
123,0.027251182
124,-0.045204062
125,-0.003790847
126,0.027513443
127,-0.001144407
128,0.043821234
129,0.019836381
130,0.044095416
131,0.04541864
132,-0.004863728
133,-0.003522627
134,0.025021974
135,-0.010257936
136,-0.047492873
137,0.047910105
138,-0.08393507
139,0.04478683
140,-0.019997314
141,0.013458698
142,0.039338976
143,-0.031232763
144,-0.012278529
145,-0.019520478
146,-0.029784374
147,-0.047933947
148,0.026059093
149,0.026404796
150,0.05077112
151,-0.003677598
152,0.069439255
153,-0.014847484
154,-0.02182717
155,0.01890655
156,0.03187649
157,-0.025957765
158,-0.029975109
159,0.076055355
160,-0.09170154
161,-0.10850405
162,0.026750503
163,0.001549717
164,-0.02393121
165,0.027322708
166,-0.06567225
167,-0.001603361
168,-0.04134169
169,-0.057637565
170,-0.03147118
171,-0.02590412
172,0.023984855
173,0.010073163
174,-0.06366953
175,0.079607785
176,-0.033891127
177,0.07175191
178,0.075280495
179,0.08370857
180,0.061571456
181,0.039184008
182,0.038278017
183,0.029671125
184,0.05880581
185,0.026750503
186,0.022602031
187,0.058007106
188,-0.0398933
189,0.005853163
190,0.021541068
191,-0.04364838
192,-0.019180732
193,0.015115703
194,0.082397275
195,0.06616101
196,0.08367281
197,0.0862954
198,0.030910898
199,0.06259666
200,0.024616662
201,-0.021451663
202,0.045812026
203,0.018858867
204,0.000560282
205,-0.009852625
206,0.04544248
207,0.05025852
208,-0.018984037
209,-0.033581182
210,0.003886214
211,0.029539995
212,0.023055024
213,-0.019061523
214,0.024282876
215,-0.019758895
216,-0.05100358
217,0.019657567
218,0.0338196
219,0.05304801
220,0.003051751
221,-0.012755365
222,-0.0362157
223,0.02909892
224,0.008308869
225,0.002336497
226,0.015091863
227,0.028848585
228,0.024068302
229,-0.028061803
230,0.052642707
231,-0.001102684
232,-0.0865517
233,0.032997057
234,0.010585761
235,0.003862372
236,-0.070810154
237,-0.004279604
238,-0.06629214
239,-0.022393415
240,-0.056332223
241,-0.005966411
242,-0.014781918
243,-0.005108106
244,-0.029313497
245,0.003886214
246,-0.015246833
247,-0.037962113
248,0.018250901
249,0.09757258
250,0.05602824
251,0.002801412
252,-0.036275305
253,-0.06387815
254,-0.033765957
255,0.07737858
256,-0.05540239
257,-0.015020337
258,-0.061970808
259,-0.019776776
260,0.030171804
261,0.01559254
262,-0.026434598
263,-0.041288044
264,-0.05356061
265,0.019478755
266,0.042974852
267,-0.040745642
268,0.04572858
269,0.017678697
270,-0.07353408
271,-0.016325675
272,-0.051945332
273,-0.02576107
274,-0.032293722
275,-0.006294236
276,0.00119209
277,0.06366953
278,-0.000512599
279,-0.008887032
280,0.03857604
281,-0.01373884
282,0.04193773
283,0.038397226
284,-0.00132322
285,-0.032716915
286,-0.03792039
287,-0.069445215
288,-0.011420224
289,-0.022131154
290,0.002682203
291,0.003600113
292,-0.037896547
293,-0.04026285
294,0.009191015
295,0.009727457
296,0.016605817
297,-0.09822823
298,0.05050886
299,-0.017261466
300,0.07307513
301,0.019562202
302,0.030064516
303,-0.054550048
304,-0.010007598
305,0.04863728
306,0.048351176
307,-0.042116545
308,-0.045221943
309,0.047886264
310,0.003218644
311,-0.077712364
312,-0.00449418
313,0.002610677
314,-0.09911038
315,-0.060075387
316,0.03780118
317,0.010299659
318,0.022220561
319,0.015890561
320,-0.003898135
321,0.071704224
322,0.011491749
323,0.049221404
324,-0.037312422
325,0.016629659
326,0.006222711
327,0.026512085
328,-0.003135197
329,-0.03144734
330,-0.016987287
331,0.0454544
332,-0.00542401
333,-0.017040929
334,0.003421299
335,-0.00634192
336,-0.05817996
337,0.01057384
338,-0.000548362
339,-0.036126293
340,0.013184517
341,0.041389372
342,-0.08702258
343,-0.0854073
344,0.048482306
345,-0.03069036
346,0.108074896
347,0.05540835
348,0.019895986
349,0.010931467
350,0.030863214
351,0.032114908
352,0.06645903
353,0.011384462
354,0.017404517
355,-0.001990791
356,-0.058102474
357,0.02232785
358,0.05179632
359,0.012087794
360,0.064504
361,-0.05468118
362,-0.028443273
363,0.043189425
364,-0.028759178
365,-0.011515591
366,-0.039815813
367,-0.034844797
368,-0.001466271
369,0.035512365
370,0.042915247
371,-0.07322414
372,0.010681128
373,-0.012522908
374,-0.09618976
375,-0.01852508
376,0.022101352
377,0.011539433
378,-0.013762682
379,-0.072634056
380,-0.005066383
381,-0.02128477
382,-0.022029826
383,-0.01546737
384,-0.01613494
385,0.001180169
386,-0.016593896
387,-0.001209972
388,-0.09043793
389,-0.026673017
390,0.02658361
391,-0.025469007
392,0.026416717
393,-0.006818756
394,0.031375814
395,-0.044304032
396,0.04575242
397,-0.006109462
398,-0.007063135
399,0.06650671
400,-0.035905756
401,-0.037854824
402,2.38E-05
403,0.006091581
404,0.000429152
405,-0.024384204
406,-0.012278529
407,0.025737228
408,0.025057735
409,-0.06559476
410,-0.030165844
411,0.083529755
412,0.005054463
413,0.11864874
414,-0.019997314
